source_name,url,domain,http_result,content_result,failure_type,redirect_count,javascript_required,security_blocked,timeout,recommended_strategy,next_action
黑龙江公务员考试官方来源档案,https://www.hljsgwy.org.cn/,www.hljsgwy.org.cn,REDIRECT,REDIRECT_TARGET_ONLY,OTHER,1,false,false,false,MANUAL_ONLY,保存重定向目标并人工确认
上海公务员考试官方来源档案,https://bm.shacs.gov.cn/zlxt,bm.shacs.gov.cn,REDIRECT,REDIRECT_TARGET_ONLY,OTHER,1,false,false,false,MANUAL_ONLY,保存重定向目标并人工确认
江苏公务员考试官方来源档案,https://jshrss.jiangsu.gov.cn/col/col57253/index.html,jshrss.jiangsu.gov.cn,200,VALID_BODY,SUCCESS,0,false,false,false,AUDIT_ONLY,保留人工核验记录未自动发布
浙江公务员考试官方来源档案,https://gwy.zjks.gov.cn/,gwy.zjks.gov.cn,200,EMPTY_BODY,EMPTY_BODY,0,false,false,false,MANUAL_ONLY,人工确认是否需要JavaScript
安徽公务员考试官方来源档案,https://www.apta.gov.cn/,www.apta.gov.cn,200,EMPTY_BODY,EMPTY_BODY,0,false,false,false,MANUAL_ONLY,人工确认是否需要JavaScript
福建公务员考试官方来源档案,http://gwykl.fujian.gov.cn,gwykl.fujian.gov.cn,POLICY_BLOCK,NOT_FETCHED,SECURITY_POLICY,0,false,true,false,MANUAL_ONLY,不降级绕过安全策略保留人工入口
江西公务员考试官方来源档案,http://www.jxpta.com/,www.jxpta.com,POLICY_BLOCK,NOT_FETCHED,SECURITY_POLICY,0,false,true,false,MANUAL_ONLY,不降级绕过安全策略保留人工入口
山东公务员考试官方来源档案,https://gwy.sdrsks.org.cn/skbm2026.html,gwy.sdrsks.org.cn,POLICY_BLOCK,NOT_FETCHED,SECURITY_POLICY,0,false,true,false,MANUAL_ONLY,不降级绕过安全策略保留人工入口
河南公务员考试官方来源档案,https://www.hnrsks.com/,www.hnrsks.com,TIMEOUT,UNKNOWN,TIMEOUT,0,false,false,true,MANUAL_ONLY,停止无限重试转人工复核
湖北公务员考试官方来源档案,https://rst.hubei.gov.cn/hbrsksw/,rst.hubei.gov.cn,200,VALID_BODY,SUCCESS,0,false,false,false,AUDIT_ONLY,保留人工核验记录未自动发布
湖南公务员考试官方来源档案,https://rst.hunan.gov.cn/rst/hnrsksw/c103103/gwy2026/rskswlist.html,rst.hunan.gov.cn,200,VALID_BODY,SUCCESS,0,false,false,false,AUDIT_ONLY,保留人工核验记录未自动发布
广东公务员考试官方来源档案,https://www.gdzz.gov.cn/,www.gdzz.gov.cn,200,VALID_BODY,SUCCESS,0,false,false,false,AUDIT_ONLY,保留人工核验记录未自动发布
广西公务员考试官方来源档案,https://www.gxpta.com.cn/,www.gxpta.com.cn,200,EMPTY_BODY,EMPTY_BODY,0,false,false,false,MANUAL_ONLY,人工确认是否需要JavaScript
海南公务员考试官方来源档案,https://ea.hainan.gov.cn/ywdt/gwyks/,ea.hainan.gov.cn,200,EMPTY_BODY,EMPTY_BODY,0,false,false,false,MANUAL_ONLY,人工确认是否需要JavaScript
重庆公务员考试官方来源档案,https://rlsbj.cq.gov.cn/ztzl/zqs2020ndkslygwyzl/,rlsbj.cq.gov.cn,200,EMPTY_BODY,EMPTY_BODY,0,false,false,false,MANUAL_ONLY,人工确认是否需要JavaScript
四川公务员考试官方来源档案,https://www.scpta.com.cn/front/Special/Info/85887d50aadf43f491088f4a9106c647,www.scpta.com.cn,TOOL_ERROR,UNKNOWN,TOOL_ERROR,0,false,false,false,MANUAL_ONLY,记录工具错误下一轮人工重试
贵州公务员考试官方来源档案,https://www.gzrsks.com.cn/,www.gzrsks.com.cn,TIMEOUT,UNKNOWN,TIMEOUT,0,false,false,true,MANUAL_ONLY,停止无限重试转人工复核
云南公务员考试官方来源档案,https://ylxf.1237125.cn/TopicWeb/ynskslygwy/index.html,ylxf.1237125.cn,TIMEOUT,UNKNOWN,TIMEOUT,0,false,false,true,MANUAL_ONLY,停止无限重试转人工复核
西藏公务员考试官方来源档案,https://hrss.xizang.gov.cn/xwzx/tzgg/202512/t20251202_512168.html,hrss.xizang.gov.cn,200,VALID_BODY,SUCCESS,0,false,false,false,AUDIT_ONLY,保留人工核验记录未自动发布
陕西公务员考试官方来源档案,https://www.sxrsks.cn/,www.sxrsks.cn,200,EMPTY_BODY,EMPTY_BODY,0,false,false,false,MANUAL_ONLY,人工确认是否需要JavaScript
甘肃公务员考试官方来源档案,https://www.gszg.gov.cn/,www.gszg.gov.cn,TOOL_ERROR,UNKNOWN,TOOL_ERROR,0,false,false,false,MANUAL_ONLY,记录工具错误下一轮人工重试
青海公务员考试官方来源档案,https://www.qhpta.com/,www.qhpta.com,TOOL_ERROR,UNKNOWN,TOOL_ERROR,0,false,false,false,MANUAL_ONLY,记录工具错误下一轮人工重试
宁夏公务员考试官方来源档案,https://www.nxpta.com/,www.nxpta.com,TOOL_ERROR,UNKNOWN,TOOL_ERROR,0,false,false,false,MANUAL_ONLY,记录工具错误下一轮人工重试
新疆公务员考试官方来源档案,https://www.xjrsks.com.cn/,www.xjrsks.com.cn,TOOL_ERROR,UNKNOWN,TOOL_ERROR,0,false,false,false,MANUAL_ONLY,记录工具错误下一轮人工重试
