id,name,category,scope,region_code,region_name,required_official_roles,source_url,source_domain,normal_frequency,active_frequency,discovery_status,last_verified_at,automation_allowed,notes
provincial-civil-service-cn-hl,黑龙江公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-HL,黑龙江,公务员主管部门、人事考试网站、年度招录专题网站,https://www.hljsgwy.org.cn/,www.hljsgwy.org.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对黑龙江省政府发布的公务员考试提示及考试网入口。
provincial-civil-service-cn-sh,上海公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-SH,上海,公务员主管部门、人事考试网站、年度招录专题网站,https://bm.shacs.gov.cn/zlxt,bm.shacs.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对上海市公务员考试报名系统。
provincial-civil-service-cn-js,江苏公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-JS,江苏,公务员主管部门、人事考试网站、年度招录专题网站,https://jshrss.jiangsu.gov.cn/col/col57253/index.html,jshrss.jiangsu.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对江苏省人力资源和社会保障厅公告及江苏人事考试网栏目。
provincial-civil-service-cn-zj,浙江公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-ZJ,浙江,公务员主管部门、人事考试网站、年度招录专题网站,https://gwy.zjks.gov.cn/,gwy.zjks.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对浙江省公务员考试录用网。
provincial-civil-service-cn-ah,安徽公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-AH,安徽,公务员主管部门、人事考试网站、年度招录专题网站,https://www.apta.gov.cn/,www.apta.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 官方招录指南明确指向安徽省人事考试网。
provincial-civil-service-cn-fj,福建公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-FJ,福建,公务员主管部门、人事考试网站、年度招录专题网站,http://gwykl.fujian.gov.cn,gwykl.fujian.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 福建省官方公告明确指向福建省公务员考试录用网；该入口当前由官方公告以HTTP发布，暂不自动采集。
provincial-civil-service-cn-jx,江西公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-JX,江西,公务员主管部门、人事考试网站、年度招录专题网站,http://www.jxpta.com/,www.jxpta.com,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 江西省官方公告明确指向江西人事考试网；暂不自动采集。
provincial-civil-service-cn-sd,山东公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-SD,山东,公务员主管部门、人事考试网站、年度招录专题网站,https://gwy.sdrsks.org.cn/skbm2026.html,gwy.sdrsks.org.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对山东省官方公告中的2026年度公务员报名平台。
provincial-civil-service-cn-ha,河南公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-HA,河南,公务员主管部门、人事考试网站、年度招录专题网站,https://www.hnrsks.com/,www.hnrsks.com,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已按河南省人事考试中心公开信息核对河南人事考试网。
provincial-civil-service-cn-hb,湖北公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-HB,湖北,公务员主管部门、人事考试网站、年度招录专题网站,https://rst.hubei.gov.cn/hbrsksw/,rst.hubei.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对湖北省人事考试网公务员考试栏目。
provincial-civil-service-cn-hn,湖南公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-HN,湖南,公务员主管部门、人事考试网站、年度招录专题网站,https://rst.hunan.gov.cn/rst/hnrsksw/c103103/gwy2026/rskswlist.html,rst.hunan.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对湖南人事考试网2026年公务员考试栏目。
provincial-civil-service-cn-gd,广东公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-GD,广东,公务员主管部门、人事考试网站、年度招录专题网站,https://www.gdzz.gov.cn/,www.gdzz.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对广东省委组织部公告及广东组织工作网。
provincial-civil-service-cn-gx,广西公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-GX,广西,公务员主管部门、人事考试网站、年度招录专题网站,https://www.gxpta.com.cn/,www.gxpta.com.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 广西官方公告明确指向广西人事考试网。
provincial-civil-service-cn-hi,海南公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-HI,海南,公务员主管部门、人事考试网站、年度招录专题网站,https://ea.hainan.gov.cn/ywdt/gwyks/,ea.hainan.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对海南省考试局公务员考试栏目。
provincial-civil-service-cn-cq,重庆公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-CQ,重庆,公务员主管部门、人事考试网站、年度招录专题网站,https://rlsbj.cq.gov.cn/ztzl/zqs2020ndkslygwyzl/,rlsbj.cq.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对重庆市人力资源和社会保障局2026年公务员专题。
provincial-civil-service-cn-sc,四川公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-SC,四川,公务员主管部门、人事考试网站、年度招录专题网站,https://www.scpta.com.cn/front/Special/Info/85887d50aadf43f491088f4a9106c647,www.scpta.com.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已按四川省官方公告核对2026年度公务员专题网站。
provincial-civil-service-cn-gz,贵州公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-GZ,贵州,公务员主管部门、人事考试网站、年度招录专题网站,https://www.gzrsks.com.cn/,www.gzrsks.com.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 贵州省官方公告明确指向贵州人事考试信息网。
provincial-civil-service-cn-yn,云南公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-YN,云南,公务员主管部门、人事考试网站、年度招录专题网站,https://ylxf.1237125.cn/TopicWeb/ynskslygwy/index.html,ylxf.1237125.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对云南省官方考录专题网页。
provincial-civil-service-cn-xz,西藏公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-XZ,西藏,公务员主管部门、人事考试网站、年度招录专题网站,https://hrss.xizang.gov.cn/xwzx/tzgg/202512/t20251202_512168.html,hrss.xizang.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对西藏自治区人力资源和社会保障厅发布的2026年高校毕业生公开考录公务员公告。
provincial-civil-service-cn-sn,陕西公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-SN,陕西,公务员主管部门、人事考试网站、年度招录专题网站,https://www.sxrsks.cn/,www.sxrsks.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对陕西省人民政府发布的2026年公务员公告及陕西人事考试网。
provincial-civil-service-cn-gs,甘肃公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-GS,甘肃,公务员主管部门、人事考试网站、年度招录专题网站,https://www.gszg.gov.cn/,www.gszg.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对甘肃组工网2026年度公务员招录公告。
provincial-civil-service-cn-qh,青海公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-QH,青海,公务员主管部门、人事考试网站、年度招录专题网站,https://www.qhpta.com/,www.qhpta.com,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 青海省官方公告明确指向青海省人事考试信息网。
provincial-civil-service-cn-nx,宁夏公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-NX,宁夏,公务员主管部门、人事考试网站、年度招录专题网站,https://www.nxpta.com/,www.nxpta.com,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已按宁夏自治区党委组织部公告核对宁夏人事考试中心网。
provincial-civil-service-cn-xj,新疆公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-XJ,新疆,公务员主管部门、人事考试网站、年度招录专题网站,https://www.xjrsks.com.cn/,www.xjrsks.com.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对新疆维吾尔自治区人力资源和社会保障厅公告及新疆人事考试中心网站。
local-soe-cn-bj,北京地方国企公开招聘来源档案,LOCAL_SOE,REGION,CN-BJ,北京,省级国资委、市级国资委、地方国企官网/官方招聘平台,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,全国目录已建立；官方网址、robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。
local-soe-cn-sh,上海地方国企公开招聘来源档案,LOCAL_SOE,REGION,CN-SH,上海,省级国资委、市级国资委、地方国企官网/官方招聘平台,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,全国目录已建立；官方网址、robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。
local-soe-cn-gd,广东地方国企公开招聘来源档案,LOCAL_SOE,REGION,CN-GD,广东,省级国资委、市级国资委、地方国企官网/官方招聘平台,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,全国目录已建立；官方网址、robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。
local-soe-cn-js,江苏地方国企公开招聘来源档案,LOCAL_SOE,REGION,CN-JS,江苏,省级国资委、市级国资委、地方国企官网/官方招聘平台,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,全国目录已建立；官方网址、robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。
local-soe-cn-zj,浙江地方国企公开招聘来源档案,LOCAL_SOE,REGION,CN-ZJ,浙江,省级国资委、市级国资委、地方国企官网/官方招聘平台,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,全国目录已建立；官方网址、robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。
local-soe-cn-sd,山东地方国企公开招聘来源档案,LOCAL_SOE,REGION,CN-SD,山东,省级国资委、市级国资委、地方国企官网/官方招聘平台,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,全国目录已建立；官方网址、robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。
local-soe-cn-sc,四川地方国企公开招聘来源档案,LOCAL_SOE,REGION,CN-SC,四川,省级国资委、市级国资委、地方国企官网/官方招聘平台,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,全国目录已建立；官方网址、robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。
local-soe-cn-hb,湖北地方国企公开招聘来源档案,LOCAL_SOE,REGION,CN-HB,湖北,省级国资委、市级国资委、地方国企官网/官方招聘平台,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,全国目录已建立；官方网址、robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。
local-soe-cn-fj,福建地方国企公开招聘来源档案,LOCAL_SOE,REGION,CN-FJ,福建,省级国资委、市级国资委、地方国企官网/官方招聘平台,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,全国目录已建立；官方网址、robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。
local-soe-cn-sn,陕西地方国企公开招聘来源档案,LOCAL_SOE,REGION,CN-SN,陕西,省级国资委、市级国资委、地方国企官网/官方招聘平台,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,全国目录已建立；官方网址、robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。
local-soe-hong-kong,香港面向内地高校毕业生的公开招聘来源档案,LOCAL_SOE,REGION,HK,香港,政府或公共机构官网、企业官方招聘页,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,仅收录明确面向内地高校毕业生的公开机会；官方网址待人工核验。
local-soe-macau,澳门面向内地高校毕业生的公开招聘来源档案,LOCAL_SOE,REGION,MO,澳门,政府或公共机构官网、企业官方招聘页,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,仅收录明确面向内地高校毕业生的公开机会；官方网址待人工核验。
