organization_name,source_url,source_domain,official_confirmed,source_type,robots_url,robots_result,terms_url,terms_result,requires_login,has_captcha,javascript_required,recommended_strategy,recommended_frequency,automation_allowed,last_verified_at,notes
中国华能集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国大唐集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国华电集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
国家电力投资集团有限公司,https://spic2026.iguopin.com/,spic2026.iguopin.com,true,招聘官网,,,,,,,true,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,国家电投官网‘招贤纳士-校园招聘’链接至该入口；页面提示需要JavaScript，robots/条款与允许路径仍待人工核验。
中国长江三峡集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国核工业集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国航天科技集团有限公司,https://www.spacechina.com/,www.spacechina.com,true,企业官网,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,中国航天科技集团官网已定位，官网包含人才招聘相关入口/内容；直连正文为空，需人工浏览器复核。
中国航天科工集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国航空工业集团有限公司,https://www.avic.com.cn/,www.avic.com.cn,true,企业官网,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,中国航空工业集团官网已打开并显示官方集团信息；2026校招公告可由官方公告渠道追溯，需人工核验具体招聘入口和访问边界。
中国船舶集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国兵器工业集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国兵器装备集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国电子科技集团有限公司,https://www.cetc.com.cn/zgdk/1593022/1592495/index.html,www.cetc.com.cn,true,企业官网,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,中国电科官网人力资源/招聘栏目已打开，并出现中国电科2026届校园招聘启动公告；robots、条款与允许路径仍待人工核验。
中国航空发动机集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国电子信息产业集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国卫星网络集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国第一汽车集团有限公司,https://faw-zhaopin.hotjob.cn/campusRecruitment,faw-zhaopin.hotjob.cn,true,招聘官网,,,,,,,true,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,中国一汽校园招聘入口已打开并显示JavaScript应用；需人工核验robots、条款、验证码与允许路径。
东风汽车集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国长安汽车集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国中车集团有限公司,https://www.crrcgc.cc/eportal/ui?pageId=714859,www.crrcgc.cc,true,企业官网,,,,,,,,MANUAL_SOURCE_AUDIT,P0_PEAK_DAILY,false,,中国中车官网人力资源/人才招聘栏目已打开，并链接至官方候选人招聘入口crrc.hotjob.cn；需人工核验robots、条款与允许路径。
中国建筑集团有限公司,https://recruit.cscec.com/,recruit.cscec.com,true,招聘官网,,,,,,,true,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,中国建筑招聘平台入口已定位；直连正文为空，需人工浏览器复核页面及访问边界，暂不自动采集。
中国铁路工程集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国铁道建筑集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国交通建设集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国电力建设集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国能源建设集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国中化控股有限责任公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中粮集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国五矿集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
招商局集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
华润集团有限公司,https://crc.wintalent.cn/wt/CRC/web/index/CompCRCPageindex,crc.wintalent.cn,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,华润集团招聘网站已打开；robots、服务条款、登录/验证码边界与允许路径仍待人工核验。
中国远洋海运集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国商用飞机有限责任公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国物流集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国医药集团有限公司,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
字节跳动,https://jobs.bytedance.com/campus/,jobs.bytedance.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,字节跳动校园招聘官网已打开并展示招聘项目；需人工核验robots、条款与允许路径后再评估采集方式。
腾讯,https://careers.tencent.com/zh-cn/,careers.tencent.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,腾讯官方招聘站已定位，官方页面提供校园招聘入口说明；当前页面正文抓取为空，需人工浏览器复核。
阿里巴巴集团,https://campus-talent.alibaba.com/,campus-talent.alibaba.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,阿里巴巴校园招聘官网已打开并跳转至校园招聘页面；需人工核验robots、条款及允许路径。
蚂蚁集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
拼多多,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
美团,https://zhaopin.meituan.com/web/campus,zhaopin.meituan.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,美团校园招聘官网入口已定位；直连正文为空，需人工浏览器复核页面及访问边界，暂不自动采集。
百度,https://talent.baidu.com/jobs/campus,talent.baidu.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,百度校园招聘官网已打开并展示校招项目与岗位入口；需人工核验robots、条款与允许路径。
京东集团,https://zhaopin.jd.com/,zhaopin.jd.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,京东招聘官网已打开并提供校园招聘入口；需人工核验robots、条款与允许路径。
网易,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
快手,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
滴滴,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
小米集团,https://hr.xiaomi.com/campus/,hr.xiaomi.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,小米校园招聘官网已打开并展示招聘项目、投递须知与宣讲会；需人工核验robots、条款与允许路径。
携程集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
哔哩哔哩,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
得物,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
三六零,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
金蝶,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
深信服,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
科大讯飞,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
华为,https://career.huawei.com/cn/campus-recruitment,career.huawei.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,华为官方校园招聘页面已定位，包含应届生招聘与校招活动；需人工核验robots、条款与允许路径。
中国工商银行,https://job.icbc.com.cn/pc/index.html,job.icbc.com.cn,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,中国工商银行人才招聘入口已定位；直连正文为空，需人工浏览器复核页面及访问边界。
中国农业银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国建设银行,https://job.ccb.com/cn/job/index.html,job.ccb.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,中国建设银行招聘官网已打开并展示校园招聘入口；需人工核验robots、条款与允许路径。
交通银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国邮政储蓄银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
国家开发银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国进出口银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国农业发展银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
招商银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中信银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
中国光大银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
上海浦东发展银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
兴业银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
平安银行,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P1_EVERY_2_3_DAYS,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
上海汽车集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
广州汽车集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
北京汽车集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
奇瑞汽车,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
吉利控股集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
比亚迪,https://job.byd.com/portal/mobile/school-home,job.byd.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,比亚迪校园招聘入口已定位；直连正文为空，需人工浏览器复核页面及访问边界。
长城汽车,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
蔚来,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
理想汽车,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
小鹏汽车,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
宁德时代,https://talent.catl.com/,talent.catl.com,true,招聘官网,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,宁德时代官方招聘入口已定位；当前直连存在重定向循环，需人工浏览器复核页面及访问边界。
中兴通讯,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
海尔集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
海信集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
美的集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
格力电器,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
京东方科技集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
TCL科技集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
顺丰控股,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
联想集团,,,false,,,,,,,,,MANUAL_SOURCE_AUDIT,P2_WEEKLY,false,,尚未完成官方域名、招聘入口、robots.txt及服务条款核验；不得自动采集。
